学校代号,学校名称,是否双一流,分数线,位次,百分位
1154,中国地质大学(北京),Yes,631,20982,60.57867543447628
4342,湖南师范大学,Yes,631,21038,60.47346171911696
1148,首都经济贸易大学,No,630,21526,59.55659934241429
1160,中国石油大学(北京),Yes,630,21680,59.26726162517614
1334,华北电力大学(保定),Yes,629,21793,59.054955378111785
3164,上海中医药大学,Yes,629,21809,59.02489431658056
6108,陕西师范大学,Yes,629,21923,58.8107092531705
3257,南京审计大学,No,629,22020,58.62846406763739
2122,东北财经大学,No,629,22428,57.86190699859088
1155,中国矿业大学(北京),Yes,629,22469,57.78487552841709
3273,南京邮电大学,Yes,628,22848,57.07280413339596
1132,北京体育大学,Yes,628,22875,57.022076092062
4412,广东外语外贸大学,No,628,22904,56.96759041803663
0002,中国美术学院（省重点建设高校）,Yes,628,22922,56.933771723814
3445,合肥工业大学,Yes,628,23147,56.51103804603099
1128,北京林业大学,Yes,627,23440,55.96054485674025
4236,郑州大学,Yes,627,23542,55.76890558947862
3457,合肥工业大学(宣城校区),Yes,627,23833,55.22217003287928
3765,中国石油大学(华东),Yes,626,24008,54.893377172381406
3124,上海海关学院,No,626,24193,54.5457961484265
4072,武汉理工大学,Yes,626,24392,54.171911695631756
1202,河北工业大学,Yes,625,25162,52.72522310944105
5314,云南大学,Yes,625,25397,52.283701268201035
3281,苏州大学,Yes,624,25496,52.09769844997651
6148,西北政法大学,No,624,25934,51.27477689055895
4037,华中农业大学,Yes,624,26171,50.829497416627525
1117,北京化工大学,Yes,623,26458,50.29027712541099
3158,上海音乐学院,Yes,623,26478,50.25270079849695
3517,福州大学,Yes,623,26934,49.39596054485674
4093,中国地质大学(武汉),Yes,623,26987,49.29638327853453
1143,北京中医药大学,Yes,622,27248,48.80601221230625
1111,北京工商大学,No,621,27824,47.72381399718177
3646,南昌大学,Yes,621,27898,47.584781587599814
2167,大连理工大学(盘锦校区),Yes,621,28239,46.94410521371536
3563,厦门大学（马来西亚分校招生专业）,Yes,621,28486,46.480037576326914
6102,长安大学,Yes,621,28572,46.31845937059652
2117,大连医科大学,No,620,28875,45.749178017848756
3778,北京交通大学(威海校区),Yes,619,29559,44.464067637388446
6139,西安外国语大学,No,619,29965,43.70126820103335
6147,西北农林科技大学,Yes,619,30052,43.537811178957256
5116,西南医科大学,No,619,30116,43.417566932832315
4433,汕头大学,No,617,31246,41.29450446218882
2127,辽宁大学,Yes,617,32016,39.847815875998116
3429,安徽医科大学,No,617,32028,39.825270079849695
1136,北京协和医学院,Yes,616,32153,39.59041803663692
2144,沈阳工程学院,No,616,32165,39.56787224048849
6144,西北大学,Yes,616,32483,38.970408642555185
4431,南方医科大学,No,615,32944,38.10427430718647
1151,首都医科大学,No,615,33177,37.666510098637865
3737,山东建筑大学,No,615,33319,37.399718177548145
0182,宁波诺丁汉大学（中外合作办学）,No,615,33651,36.77595115077501
5005,西南大学,Yes,615,33733,36.621888210427436
3607,江西财经大学,No,613,35310,33.65899483325505
5210,贵州大学,Yes,613,35519,33.266322217003285
0006,杭州电子科技大学（省重点建设高校）,No,612,35680,32.96383278534524
4504,广西大学,Yes,612,35755,32.82292155941756
4217,河南中医药大学,No,612,35764,32.80601221230624
3243,南京工业大学,No,611,36653,31.135744480976978
1415,太原理工大学,Yes,611,36807,30.84640676373884
2108,大连海事大学,Yes,611,37004,30.47627994363551
4356,吉首大学,No,610,37601,29.354626585251285
2304,东北农业大学,Yes,610,37676,29.213715359323622
4423,广州中医药大学,Yes,610,37725,29.121653358384215
1110,北京服装学院,No,610,37970,28.661343353687172
3315,中国矿业大学,Yes,610,38035,28.539220291216537
1206,天津财经大学,No,610,38108,28.402066697980278
2242,延边大学,Yes,610,38209,28.212306247064344
3220,江苏大学,No,609,38346,27.95490840770315
2218,东北师范大学,Yes,607,40271,24.338186942226393
3270,南京医科大学,No,607,40776,23.389384687646785
4216,河南师范大学,No,607,40959,23.045561296383276
3515,福建医科大学,No,606,41472,22.081728511038044
3238,南京财经大学,No,606,41621,21.80178487552842
3297,西交利物浦大学（中外合作办学）,No,606,41701,21.651479567872244
5143,西南交通大学,Yes,606,41962,21.161108501643966
4419,广州美术学院,No,605,42307,20.512916862376706
3161,上海政法学院,No,605,42518,20.116486613433537
1120,北京建筑大学,No,605,42925,19.351808360732736
2138,锦州医科大学,No,604,43142,18.944105213715357
5002,四川美术学院,No,604,43776,17.75293565054016
3770,山东中医药大学,No,604,43823,17.664631282292152
1214,天津职业技术师范大学,No,604,43960,17.40723344293096
1422,山西医科大学,No,604,44040,17.256928135274773
3775,山东第一医科大学,No,603,44198,16.96007515265383
5307,昆明医科大学,No,603,44287,16.79286049788633
5204,贵州医科大学,No,603,44550,16.29873179896665
3267,南京信息工程大学,Yes,603,44617,16.172851103804607
0016,浙江财经大学（省重点建设高校）,No,603,44715,15.988727101925782
3148,上海体育学院,Yes,603,44741,15.939877876937524
3254,南京林业大学,Yes,602,45200,15.07750117426021
1349,燕山大学,No,602,45237,15.007984969469234
6405,宁夏大学,Yes,602,45338,14.818224518553313
1331,河北医科大学,No,602,45711,14.117426021606382
3125,上海海事大学,No,602,45889,13.782996712071395
2303,东北林业大学,Yes,602,45918,13.728511038046031
4233,新乡医学院,No,602,45951,13.666510098637863
4408,广东金融学院,No,602,46021,13.534992954438707
3138,上海立信会计金融学院,No,601,46264,13.078440582433071
0007,浙江工商大学（省重点建设高校）,No,601,46404,12.815406294034759
3523,华侨大学,No,601,46567,12.509159229685295
1310,承德医学院,No,601,46788,12.093940817285109
2201,北华大学,No,601,46822,12.030061061531239
4402,北京师范大学-香港浸会大学联合国际学院（内地与港澳台地区合作办学,No,601,46989,11.716298731798968
6125,西安建筑科技大学,No,601,46991,11.712541099107565
3306,扬州大学,No,601,47012,11.673085955847817
4067,武汉科技大学,No,600,47223,11.276655706904648
4092,湖北医药学院,No,600,47300,11.13198684828558
1502,内蒙古大学,Yes,600,47386,10.970408642555185
0005,宁波大学（省重点建设高校）,Yes,600,47451,10.84828558008455
5103,成都理工大学,Yes,600,47543,10.675434476279943
2161,中国医科大学,No,600,47919,9.96899953029592
5129,四川农业大学,Yes,600,48084,9.658994833255052
3201,常熟理工学院,No,599,48262,9.324565523720052
1247,中国民航大学,No,599,48382,9.099107562235787
4011,湖北大学,No,599,48404,9.057773602630348
3275,南京中医药大学,Yes,599,48438,8.993893846876466
2104,大连大学,No,599,48532,8.817285110380457
4058,武汉工程大学,No,599,48655,8.586190699859086
